,Auckland,Hamilton,Tauranga,Wellington,Christchurch,Dunedin,Whangarei,Rotorua,Gisborne,Hastings,Napier,New Plymouth,Whanganui,Palmerston North,Kapiti Coast,Nelson,Invercargill,Cambridge,Te Awamutu,Tokoroa,Taupo,Whakatane,Feilding,Levin,Masterton,Blenheim,Greymouth,Ashburton,Timaru,Oamaru,Queenstown,Kaitaia,Kerikeri,Warkworth,Whitianga,Thames,Waihi,Huntly,Morrinsville,Matamata,Katikati,Te Puke,Kawerau,Stratford,Hawera,Marton,Dannevirke,Otaki,Motueka,Cromwell,Alexandra,Wanaka,Gore
u5.0km_u0deg,0.00870483495691893,0.0058032233046126196,0.0010362898758236822,0.010984672683731031,0.014093542311202077,0.018238701814496806,0.0016580638013178914,0.009948382807907347,0.008912092932083665,0.011813704584389975,0.030881438299545726,0.015129832187025759,0.024041925119109426,0.015337090162190495,0.010777414708566293,0.0072540291307657745,0.03979353123162939,0.003937901528129992,0.0068395131804363015,0.012642736485048921,0.008497576981754193,0.008912092932083665,0.02031128156614417,0.014922574211861023,0.010362898758236821,0.026321762845921526,0.03108869627471046,0.018238701814496806,0.029223374498227834,0.013679026360872603,0.018238701814496806,0.004766933428788938,0.01740966991383786,0.011191930658895767,0.0062177392549420925,0.0026943536771415733,0.0026943536771415733,0.08186690019007088,0.008290319006589457,0.0026943536771415733,0.009948382807907347,0.01388628433603734,0.07461287105930511,0.013679026360872603,0.004145159503294729,0.026321762845921526,0.01678789598834365,0.03295401805119309,0.012435478509884185,0.03212498615053414,0.04290240085910044,0.024249183094274162,0.03067418032438099
u5.0km_u5deg,34.08668288546838,71.99561734892482,37.76323210691564,14.981435476807807,74.36602681088391,24.2518774479513,29.22316724025267,22.161266252464607,30.29261839210271,77.29914167541526,25.520918029884985,31.067763219218826,50.15145579846226,73.37657723744746,32.21016917832685,11.320223345522738,71.52369093947472,71.10979676307073,69.45504908935548,59.73734440780648,43.929364126041705,14.40484378989951,69.32053866347357,71.68576667605353,75.48770697247546,71.31705473823547,25.169201246030426,77.6456770098907,42.35793415834268,34.59446492462198,3.1418236455222393,60.47994973282174,49.084906258264525,34.29062473303048,20.51708873548275,11.210583876660593,42.447055087663514,35.596764492518645,71.75623438760955,75.56024726378313,38.37588668150259,64.3822028892234,34.06450628212575,71.58068688264501,67.68154259587084,76.50119847103103,61.02130756395203,55.378709190092074,37.81027966727803,28.123870939978907,37.45877014139864,41.03625005071715,53.80375583681525
u5.0km_u10deg,43.4721530328283,75.16935872262243,41.37843296771413,24.774582061316767,75.09681843131477,41.1100338898758,42.499698613355356,25.849214662545926,37.157209787533944,77.3024578030179,26.224558855569263,40.820079982620335,58.04902094211454,74.88189191106893,36.6355414640443,16.62644202569032,71.70027473431507,74.35815100782764,76.38990093836756,69.42458216700626,57.80797991699795,16.761366967522562,74.76416938117536,73.66839646647941,76.45477268459412,72.37448492752596,31.50466303086609,77.6456770098907,45.47758120052229,41.60662399837051,8.31933512311252,70.11060606480154,62.075421625639876,54.12790730997289,29.336744610642945,16.543124319674096,52.44911771113853,45.13767812125212,75.63506739281759,77.58204881151512,48.911224075076476,69.43390877588868,47.74000925742055,76.521302494622,75.32210785031884,78.0324203915481,71.44783452056443,58.88364880810293,39.020251726289764,36.3816504444675,52.25346618258302,48.02768332694921,64.06406189734552
u5.0km_u15deg,46.099147868041335,75.91196404763768,42.35689786846685,33.52459925682161,75.87154874248056,52.18797266243096,51.57096567036554,28.522842542171027,43.82490610655868,77.3024578030179,26.71410219290837,44.628238018297196,62.8281825914382,75.64211416397319,40.228565721500175,22.719411979583242,71.7330214943911,75.5444956576706,77.45209806108683,73.12268621787065,63.08932764014577,18.759541106085788,76.57974924361847,74.28726878032131,76.80669672642385,73.6344061585524,37.36343147282286,77.6456770098907,46.420812245497004,44.71963878534485,14.375620415401283,75.09205149788598,68.29917136186175,64.68625033879006,37.03575661408741,23.18968032523203,60.910010031288564,52.659070039980406,77.2512650831522,77.96962122507318,53.6976397535309,72.02421894949755,56.80816744480327,77.58308510139095,77.17768850196873,78.21750176337021,74.96292977935835,60.43601104208681,39.73777883631008,44.53103402794494,61.61406537292317,51.297799659098416,69.72282639326832
u5.0km_u20deg,46.977299908814324,76.13953330436856,42.72560980628492,41.54154499416878,76.47819283578774,59.076605982981306,58.14353057878966,30.327023215980056,49.46854077029445,77.3024578030179,27.10602702394489,46.47449206106467,66.42535200839737,76.13766798259208,43.894337528238864,29.18896967435049,71.7377884278199,76.24544212967774,77.62971814580301,75.22676918174307,65.74285149617988,20.65180641933983,77.11799820512128,74.6035444504227,77.02141598869451,74.9873862204278,42.20580680457176,77.6456770098907,46.838644323429115,46.5072388211407,21.295756948176667,77.21022800406959,71.66773523221421,70.31682775009045,42.67711144009637,30.364951425435205,67.92817958631687,58.99370279291541,77.94723736375539,78.11988325706761,56.317795075563495,73.92290925998171,63.44042265007483,78.03096958572195,77.88091481170268,78.2463106219181,76.4502130091405,61.48121301084257,40.26151973955137,52.40061934494998,67.49127977466961,53.71401313356891,72.97470402360304
u5.0km_u25deg,47.319068309860974,76.235701004845,42.844575884029474,48.4720444257024,76.85975476806603,63.216998552847244,62.859064029737745,31.456371922652707,53.38633827483346,77.3024578030179,27.374633359758388,47.41730859008906,68.99307106271328,76.41249205766051,47.37109006162732,35.139553399305235,71.73841020174538,76.72524434218411,77.66350119575486,76.5830653712211,67.270342773144,22.26261540232016,77.30307957694339,74.7569153520446,77.19447639795708,76.3461695056078,45.864739098130016,77.6456770098907,47.04175713909056,47.47326824338354,28.429576453346893,77.95304058706,73.53927474795178,73.19833537880578,46.223917169090505,36.968605030134036,72.57365984165926,63.75814912600237,78.2098332182891,78.20921144436362,57.855234735335515,75.40190217075727,68.34248827867117,78.22185418084867,78.17791549011375,78.25190658724755,77.08628773492107,62.21946591837937,40.60846958997713,58.80841416311814,71.13487497806567,55.95011942762125,74.87588142978916
u5.0km_u30deg,47.44943357623959,76.26326631554191,42.8744210324532,53.7264486120788,77.09706514962964,65.56626770133953,65.9602651121277,32.158769200486,55.66203084214227,77.3024578030179,27.56385989108379,47.87679952102928,70.74232837310366,76.54347909796464,50.404103270188074,40.233332654928965,71.73841020174538,76.95944585412026,77.667439097283,77.47095853682683,68.12403837284755,23.505748737358253,77.36857309709545,74.82800483752611,77.26805297914055,77.23634250894034,48.35079851023103,77.6456770098907,47.12839097270941,47.939598687504194,35.1144751843103,78.16693081743001,74.44043242396805,74.49017433800759,48.13421392618388,42.164769725489144,75.32687478374763,66.54245276436544,78.276363028317,78.24900497559524,58.70374888565994,76.42306221439392,71.85032950833434,78.29439447215633,78.29501624608181,78.25315013509854,77.34577471982733,62.72849150538396,40.79769612130254,63.521667776339406,73.27460631366641,58.088607215371006,75.8671963250021
u5.0km_u35deg,47.49855371635363,76.26616792719422,42.87898070790683,57.259160798761734,77.1901239804786,66.71862204325546,67.62641197447701,32.62489238663149,56.899775469826075,77.3024578030179,27.654638884205944,48.056077669546774,71.62255299362829,76.57684763196616,52.85907398601438,44.29621074208329,71.73841020174538,77.01644179729055,77.66764635525816,77.91925753710815,68.4769987045531,24.336853217768844,77.39012792651258,74.85826450190017,77.29582554781263,77.61956250501994,49.81155271919209,77.6456770098907,47.15533450948083,48.105197809660815,40.800183217004516,78.20423725295966,74.75629357811911,74.98282654497416,49.00677000162742,45.29167079679952,76.64876614934832,67.75574095097981,78.29211463442951,78.25480819889987,59.11639951421294,76.99343616204727,74.11379385510843,78.31657107549896,78.32838478008334,78.25315013509854,77.41437710960686,63.01865267061459,40.87873398959195,66.5996559655109,74.50779126589659,59.98522494610351,76.27404373025047
u5.0km_u40deg,47.508087583211214,76.26616792719422,42.87898070790683,59.08406727008723,77.23903686261748,67.15945975643086,68.37026084734325,32.87505276265533,57.42082201939022,77.3024578030179,27.69153080378527,48.10436877776016,71.9334399563754,76.58679601477407,54.39133219640728,46.861857216647564,71.73841020174538,77.02846275985011,77.66764635525816,78.14433969813706,68.58311478783743,24.771473191689296,77.39074970043808,74.86655482090674,77.30017796529108,77.7061963386388,50.56783707056822,77.6456770098907,47.15885789505863,48.15369617584937,45.08835072316291,78.20651709068648,74.83878225223468,75.11816600275674,49.311231967144415,46.75449758551223,77.15426835077511,68.14020449491039,78.29315092430534,78.25480819889987,59.28096234649374,77.32235456863371,75.64066335814704,78.32113075095258,78.3327371975618,78.25315013509854,77.42453275038993,63.18881146822484,40.90650655826403,68.26621734381055,75.16417727324331,61.37613321743405,76.41124850980952
u5.0km_u45deg,47.51119645283868,76.26616792719422,42.87898070790683,59.81900405002139,77.26556588343857,67.27801131822508,68.62560267274621,32.97267126895792,57.60756145501365,77.3024578030179,27.709354989649437,48.11970586792235,72.02815685102568,76.58803956262506,55.15217622323702,48.06146637690106,71.73841020174538,77.03157162947758,77.66764635525816,78.22620659832712,68.62498089882071,24.98785051776128,77.39074970043808,74.8686274006584,77.30287231896823,77.72339875057747,50.969917542387805,77.6456770098907,47.159065153033794,48.165924396384085,48.03783896773228,78.20651709068648,74.85784998594983,75.15215631068375,49.392891609359324,47.29295380499021,77.32940133978931,68.24155364476594,78.29315092430534,78.25480819889987,59.3275953909058,77.48774643281517,76.50285653483235,78.32113075095258,78.3327371975618,78.25315013509854,77.42805613596772,63.26881304663843,40.9166621990471,69.03286459394491,75.47029730256163,62.14920546479852,76.46057590789874
u5.0km_u50deg,47.51181822676418,76.26616792719422,42.87898070790683,60.06501926654193,77.26971104294186,67.28941050685916,68.6838421637675,33.007283350810425,57.65751062702835,77.3024578030179,27.718474340556686,48.12654538110279,72.0515770022193,76.58803956262506,55.46347770193445,48.501889574126125,71.73841020174538,77.03157162947758,77.66764635525816,78.24237272038998,68.63430750770313,25.084639992163215,77.39074970043808,74.8686274006584,77.30307957694339,77.72630036222978,51.177590033502874,77.6456770098907,47.159065153033794,48.16903326601155,49.80802933361429,78.20651709068648,74.85847175987533,75.16023937171518,49.410715795223496,47.433474712151906,77.37624164217654,68.25461089720133,78.29315092430534,78.25480819889987,59.341688933217,77.560493982098,76.85954751009085,78.32113075095258,78.3327371975618,78.25315013509854,77.42950694179387,63.297621905186325,40.92080735855039,69.32240398525005,75.58636176865387,62.51397950108846,76.46575735727785
u5.0km_u55deg,47.51181822676418,76.26616792719422,42.87898070790683,60.11641924438279,77.26971104294186,67.28982502280948,68.69627764227738,33.017646249568664,57.66538643008462,77.3024578030179,27.72137595220899,48.130897798581245,72.05240603411995,76.58803956262506,55.539955894770245,48.62728064910079,71.73841020174538,77.03157162947758,77.66764635525816,78.24444530014162,68.63492928162862,25.11780126818957,77.39074970043808,74.8686274006584,77.30307957694339,77.72630036222978,51.249715808860195,77.6456770098907,47.159065153033794,48.17317842551485,50.613226567129296,78.20651709068648,74.85847175987533,75.16023937171518,49.41092305319866,47.45399325169321,77.3841174452328,68.25606170302748,78.29315092430534,78.25480819889987,59.34396877094382,77.57873268391249,76.97374665440663,78.32113075095258,78.3327371975618,78.25315013509854,77.42950694179387,63.30259609659028,40.92080735855039,69.4061362072166,75.62055933455606,62.64310121961609,76.46575735727785
